Year,Kid total,Poor kid total,Poor kid percent,Fam kid total,Poor fam kid total,Poor fam kid percent,Middle total,Poor middle total,Poor middle percent,Old total,Poor old total,Poor old percent
ALL RACES,,,,,,,,,,,,
2021,"72,936","11,149",15.3,"72,129","10,796",15,"199,062","20,982",10.5,"56,193","5,802",10.3
20201,"73,541","11,789",16,"72,755","11,439",15.7,"199,753","20,907",10.5,"54,276","4,852",8.9
2019,"72,637","10,466",14.4,"71,854","10,165",14.1,"197,475","18,660",9.4,"54,642","4,858",8.9
2018,"73,284","11,869",16.2,"72,425","11,491",15.9,"197,775","21,130",10.7,"52,788","5,146",9.7
20172,"73,470","12,759",17.4,"72,612","12,358",17,"198,012","21,913",11.1,"51,066","4,893",9.6
2017,"73,356","12,808",17.5,"72,532","12,439",17.1,"198,113","22,209",11.2,"51,080","4,681",9.2
2016,"73,586","13,253",18,"72,674","12,803",17.6,"197,051","22,795",11.6,"49,274","4,568",9.3
2015,"73,647","14,509",19.7,"72,558","13,962",19.2,"197,260","24,414",12.4,"47,547","4,201",8.8
2014,"73,556","15,540",21.1,"72,383","14,987",20.7,"196,254","26,527",13.5,"45,994","4,590",10
20133,"73,439","15,801",21.5,"72,246","15,116",20.9,"194,694","25,899",13.3,"44,963","4,569",10.2
20134,"73,625","14,659",19.9,"72,573","14,142",19.5,"194,833","26,429",13.6,"44,508","4,231",9.5
2012,"73,719","16,073",21.8,"72,545","15,437",21.3,"193,642","26,497",13.7,"43,287","3,926",9.1
2011,"73,737","16,134",21.9,"72,568","15,539",21.4,"193,213","26,492",13.7,"41,507","3,620",8.7
20105,"73,873","16,286",22,"72,581","15,598",21.5,"192,481","26,499",13.8,"39,777","3,558",8.9
2009,"74,579","15,451",20.7,"73,410","14,774",20.1,"190,627","24,684",12.9,"38,613","3,433",8.9
2008,"74,068","14,068",19,"72,980","13,507",18.5,"189,185","22,105",11.7,"37,788","3,656",9.7
2007,"73,996","13,324",18,"72,792","12,802",17.6,"187,913","20,396",10.9,"36,790","3,556",9.7
2006,"73,727","12,827",17.4,"72,609","12,299",16.9,"186,688","20,239",10.8,"36,035","3,394",9.4
2005,"73,285","12,896",17.6,"72,095","12,335",17.1,"184,345","20,450",11.1,"35,505","3,603",10.1
20046,"73,241","13,041",17.8,"72,133","12,473",17.3,"182,166","20,545",11.3,"35,209","3,453",9.8
2003,"72,999","12,866",17.6,"71,907","12,340",17.2,"180,041","19,443",10.8,"34,659","3,552",10.2
2002,"72,696","12,133",16.7,"71,619","11,646",16.3,"178,388","18,861",10.6,"34,234","3,576",10.4
2001,"72,021","11,733",16.3,"70,950","11,175",15.8,"175,685","17,760",10.1,"33,769","3,414",10.1
20007,"71,741","11,587",16.2,"70,538","11,005",15.6,"173,638","16,671",9.6,"33,566","3,323",9.9
19998,"71,685","12,280",17.1,"70,424","11,678",16.6,"171,146","17,289",10.1,"33,377","3,222",9.7
1998,"71,338","13,467",18.9,"70,253","12,845",18.3,"167,327","17,623",10.5,"32,394","3,386",10.5
1997,"71,069","14,113",19.9,"69,844","13,422",19.2,"165,329","18,085",10.9,"32,082","3,376",10.5
1996,"70,650","14,463",20.5,"69,411","13,764",19.8,"163,691","18,638",11.4,"31,877","3,428",10.8
19959,"70,566","14,665",20.8,"69,425","13,999",20.2,"161,508","18,442",11.4,"31,658","3,318",10.5
199410,"70,020","15,289",21.8,"68,819","14,610",21.2,"160,329","19,107",11.9,"31,267","3,663",11.7
199311,"69,292","15,727",22.7,"68,040","14,961",22,"159,208","19,781",12.4,"30,779","3,755",12.2
199212,"68,440","15,294",22.3,"67,256","14,521",21.6,"157,680","18,793",11.9,"30,430","3,928",12.9
199113,"65,918","14,341",21.8,"64,800","13,658",21.1,"154,684","17,586",11.4,"30,590","3,781",12.4
1990,"65,049","13,431",20.6,"63,908","12,715",19.9,"153,502","16,496",10.7,"30,093","3,658",12.2
1989,"64,144","12,590",19.6,"63,225","12,001",19,"152,282","15,575",10.2,"29,566","3,363",11.4
198814,"63,747","12,455",19.5,"62,906","11,935",19,"150,761","15,809",10.5,"29,022","3,481",12
198714,"63,294","12,843",20.3,"62,423","12,275",19.7,"149,201","15,815",10.6,"28,487","3,563",12.5
1986,"62,948","12,876",20.5,"62,009","12,257",19.8,"147,631","16,017",10.8,"27,975","3,477",12.4
198515,"62,876","13,010",20.7,"62,019","12,483",20.1,"146,396","16,598",11.3,"27,322","3,456",12.6
198416,"62,447","13,420",21.5,"61,681","12,929",21,"144,551","16,952",11.7,"26,818","3,330",12.4
1983,"62,334","13,911",22.3,"61,578","13,427",21.8,"143,052","17,767",12.4,"26,313","3,625",13.8
1982,"62,345","13,647",21.9,"61,565","13,139",21.3,"141,328","17,000",12,"25,738","3,751",14.6
198117,"62,449","12,505",20,"61,756","12,068",19.5,"139,477","15,464",11.1,"25,231","3,853",15.3
1980,"62,914","11,543",18.3,"62,168","11,114",17.9,"137,428","13,858",10.1,"24,686","3,871",15.7
197918,"63,375","10,377",16.4,"62,646","9,993",16,"135,333","12,014",8.9,"24,194","3,682",15.2
1978,"62,311","9,931",15.9,"61,987","9,722",15.7,"130,169","11,332",8.7,"23,175","3,233",14
1977,"63,137","10,288",16.2,"62,823","10,028",16,"128,262","11,316",8.8,"22,468","3,177",14.1
1976,"64,028","10,273",16,"63,729","10,081",15.8,"126,175","11,389",9,"22,100","3,313",15
1975,"65,079","11,104",17.1,"64,750","10,882",16.8,"124,122","11,456",9.2,"21,662","3,317",15.3
197419,"66,134","10,156",15.4,"65,802","9,967",15.1,"122,101","10,132",8.3,"21,127","3,085",14.6
1973,"66,959","9,642",14.4,"66,626","9,453",14.2,"120,060","9,977",8.3,"20,602","3,354",16.3
197220,"67,930","10,284",15.1,"67,592","10,082",14.9,"117,957","10,438",8.8,"20,117","3,738",18.6
197121,"68,816","10,551",15.3,"68,474","10,344",15.1,"115,911","10,735",9.3,"19,827","4,273",21.6
1970,"69,159","10,440",15.1,"68,815","10,235",14.9,"113,554","10,187",9,"19,470","4,793",24.6
1969,"69,090","9,691",14,"68,746","9,501",13.8,"111,528","9,669",8.7,"18,899","4,787",25.3
1968,"70,385","10,954",15.6,"70,035","10,739",15.3,"108,684","9,803",9,"18,559","4,632",25
196722,"70,408","11,656",16.6,"70,058","11,427",16.3,"107,024","10,725",10,"18,240","5,388",29.5
1966,"70,218","12,389",17.6,"69,869","12,146",17.4,"105,241","11,007",10.5,"17,929","5,114",28.5
1965,"69,986","14,676",21,"69,638","14,388",20.7,N,N,N,N,N,N
1964,"69,711","16,051",23,"69,364","15,736",22.7,N,N,N,N,N,N
1963,"69,181","16,005",23.1,"68,837","15,691",22.8,N,N,N,N,N,N
1962,"67,722","16,963",25,"67,385","16,630",24.7,N,N,N,N,N,N
1961,"66,121","16,909",25.6,"65,792","16,577",25.2,N,N,N,N,N,N
1960,"65,601","17,634",26.9,"65,275","17,288",26.5,N,N,N,N,N,N
1959,"64,315","17,552",27.3,"63,995","17,208",26.9,"96,685","16,457",17,"15,557","5,481",35.2
WHITE ALONE23,,,,,,,,,,,,
2021,"51,693","6,631",12.8,"51,098","6,392",12.5,"150,671","14,052",9.3,"46,545","4,236",9.1
20201,"52,334","7,313",14,"51,735","7,053",13.6,"151,424","14,357",9.5,"45,326","3,513",7.8
2019,"52,494","6,443",12.3,"51,866","6,209",12,"149,832","12,535",8.4,"45,760","3,534",7.7
2018,"52,763","7,049",13.4,"52,153","6,783",13,"150,564","14,133",9.4,"44,307","3,762",8.5
20172,"53,101","7,796",14.7,"52,481","7,520",14.3,"151,156","14,653",9.7,"42,999","3,577",8.3
2017,"53,022","8,041",15.2,"52,412","7,772",14.8,"151,259","15,027",9.9,"42,991","3,368",7.8
2016,"53,319","8,324",15.6,"52,594","7,963",15.1,"151,044","15,467",10.2,"41,623","3,322",8
2015,"53,550","9,204",17.2,"52,786","8,838",16.7,"151,731","16,325",10.8,"40,254","3,037",7.5
2014,"53,637","9,602",17.9,"52,732","9,172",17.4,"151,562","18,086",11.9,"39,054","3,400",8.7
20133,"53,638","10,296",19.2,"52,657","9,702",18.4,"151,234","17,629",11.7,"38,475","3,362",8.7
20134,"53,846","8,808",16.4,"53,074","8,428",15.9,"151,334","17,931",11.8,"37,905","3,197",8.4
2012,"54,066","9,979",18.5,"53,201","9,547",17.9,"151,042","17,946",11.9,"37,039","2,891",7.8
2011,"54,186","10,103",18.6,"53,268","9,643",18.1,"151,416","18,007",11.9,"35,732","2,739",7.7
20105,"54,490","10,092",18.5,"53,573","9,590",17.9,"151,218","18,353",12.1,"34,274","2,638",7.7
2009,"56,266","9,938",17.7,"55,397","9,440",17,"152,367","17,391",11.4,"33,414","2,501",7.5
2008,"56,153","8,863",15.8,"55,339","8,441",15.3,"151,681","15,356",10.1,"32,714","2,771",8.5
2007,"56,419","8,395",14.9,"55,483","8,002",14.4,"150,875","14,135",9.4,"31,839","2,590",8.1
2006,"56,205","7,908",14.1,"55,330","7,522",13.6,"150,143","14,035",9.3,"31,270","2,473",7.9
2005,"56,075","8,085",14.4,"55,152","7,652",13.9,"148,450","14,086",9.5,"30,905","2,700",8.7
20046,"56,053","8,308",14.8,"55,212","7,876",14.3,"146,974","14,486",9.9,"30,714","2,534",8.3
2003,"55,779","7,985",14.3,"54,989","7,624",13.9,"145,783","13,622",9.3,"30,303","2,666",8.8
2002,"55,703","7,549",13.6,"54,900","7,203",13.1,"144,694","13,178",9.1,"29,980","2,739",9.1
WHITE24,,,,,,,,,,,,
2001,"56,089","7,527",13.4,"55,238","7,086",12.8,"143,796","12,555",8.7,"29,790","2,656",8.9
20007,"55,980","7,307",13.1,"55,021","6,834",12.4,"142,164","11,754",8.3,"29,703","2,584",8.7
19998,"55,833","7,639",13.7,"54,873","7,194",13.1,"139,974","12,085",8.6,"29,553","2,446",8.3
1998,"56,016","8,443",15.1,"55,126","7,935",14.4,"138,061","12,456",9,"28,759","2,555",8.9
1997,"55,863","8,990",16.1,"54,870","8,441",15.4,"136,784","12,838",9.4,"28,553","2,569",9
1996,"55,606","9,044",16.3,"54,599","8,488",15.5,"135,586","12,940",9.5,"28,464","2,667",9.4
19959,"55,444","8,981",16.2,"54,532","8,474",15.5,"134,149","12,869",9.6,"28,436","2,572",9
199410,"55,186","9,346",16.9,"54,221","8,826",16.3,"133,289","13,187",9.9,"27,985","2,846",10.2
199311,"54,639","9,752",17.8,"53,614","9,123",17,"132,680","13,535",10.2,"27,580","2,939",10.7
199212,"54,110","9,399",17.4,"53,110","8,752",16.5,"131,694","12,871",9.8,"27,256","2,989",11
199113,"52,523","8,848",16.8,"51,627","8,316",16.1,"130,312","12,097",9.3,"27,297","2,802",10.3
1990,"51,929","8,232",15.9,"51,028","7,696",15.1,"129,784","11,387",8.8,"26,898","2,707",10.1
1989,"51,400","7,599",14.8,"50,704","7,164",14.1,"128,974","10,647",8.3,"26,479","2,539",9.6
198814,"51,203","7,435",14.5,"50,590","7,095",14,"128,031","10,687",8.3,"26,001","2,593",10
198714,"51,012","7,788",15.3,"50,360","7,398",14.7,"126,991","10,703",8.4,"25,602","2,704",10.6
1986,"51,111","8,209",16.1,"50,356","7,714",15.3,"125,998","11,285",9,"25,173","2,689",10.7
198515,"51,031","8,253",16.2,"50,358","7,838",15.6,"125,258","11,909",9.5,"24,629","2,698",11
198416,"50,814","8,472",16.7,"50,192","8,086",16.1,"123,922","11,904",9.6,"24,206","2,579",10.7
1983,"50,726","8,862",17.5,"50,183","8,534",17,"123,014","12,347",10,"23,754","2,776",11.7
1982,"50,920","8,678",17,"50,305","8,282",16.5,"121,766","11,971",9.8,"23,234","2,870",12.4
198117,"51,140","7,785",15.2,"50,553","7,429",14.7,"120,574","10,790",8.9,"22,791","2,978",13.1
1980,"51,653","7,181",13.9,"51,002","6,817",13.4,"118,935","9,478",8,"22,325","3,042",13.6
197918,"52,262","6,193",11.8,"51,687","5,909",11.4,"117,583","8,110",6.9,"21,898","2,911",13.3
1978,"51,669","5,831",11.3,"51,409","5,674",11,"113,832","7,897",6.9,"20,950","2,530",12.1
1977,"52,563","6,097",11.6,"52,299","5,943",11.4,"112,374","7,893",7,"20,316","2,426",11.9
1976,"53,428","6,189",11.6,"53,167","6,034",11.3,"110,717","7,890",7.1,"20,020","2,633",13.2
1975,"54,405","6,927",12.7,"54,126","6,748",12.5,"109,105","8,210",7.5,"19,654","2,634",13.4
197419,"55,590","6,223",11.2,"55,320","6,079",11,"107,579","7,053",6.6,"19,206","2,460",12.8
1973,N,N,N,"56,211","5,462",9.7,N,N,N,N,"2,698",14.4
197220,N,N,N,"57,181","5,784",10.1,N,N,N,N,"3,072",16.8
197121,N,N,N,"58,119","6,341",10.9,N,N,N,N,"3,605",19.9
1970,N,N,N,"58,472","6,138",10.5,N,N,N,N,"4,011",22.6
1969,N,N,N,"58,578","5,667",9.7,N,N,N,N,"4,052",23.3
1968,N,N,N,N,"6,373",10.7,N,N,N,"17,062","3,939",23.1
196722,N,N,N,N,"6,729",11.3,N,N,N,"16,791","4,646",27.7
1966,N,N,N,N,"7,204",12.1,N,N,N,"16,514","4,357",26.4
1965,N,N,N,N,"8,595",14.4,N,N,N,N,N,N
1960,N,N,N,N,"11,229",20,N,N,N,N,N,N
1959,N,N,N,N,"11,386",20.6,N,N,N,N,"4,744",33.1
"WHITE ALONE, NOT HISPANIC23",,,,,,,,,,,,
2021,"35,902","3,162",8.8,"35,522","3,013",8.5,"116,561","9,289",8,"41,845","3,354",8
20201,"36,452","3,593",9.9,"36,071","3,454",9.6,"117,763","9,677",8.2,"40,863","2,768",6.8
2019,"36,391","3,030",8.3,"35,976","2,886",8,"116,810","8,321",7.1,"41,442","2,801",6.8
2018,"36,619","3,265",8.9,"36,245","3,107",8.6,"117,979","9,510",8.1,"40,218","2,951",7.3
20172,"37,122","3,793",10.2,"36,727","3,614",9.8,"118,969","9,884",8.3,"39,127","2,942",7.5
2017,"37,047","4,026",10.9,"36,655","3,860",10.5,"119,078","10,230",8.6,"39,131","2,737",7
2016,"37,485","4,050",10.8,"36,982","3,799",10.3,"119,785","10,526",8.8,"37,951","2,687",7.1
2015,"37,859","4,563",12.1,"37,342","4,301",11.5,"120,908","10,812",8.9,"36,682","2,411",6.6
2014,"38,057","4,679",12.3,"37,457","4,440",11.9,"121,424","12,173",10,"35,727","2,801",7.8
20133,"38,167","5,116",13.4,"37,572","4,784",12.7,"121,629","11,691",9.6,"35,322","2,745",7.8
20134,"38,395","4,094",10.7,"37,849","3,833",10.1,"121,991","12,133",9.9,"34,781","2,569",7.4
2012,"38,759","4,782",12.3,"38,167","4,510",11.8,"122,221","11,833",9.7,"34,131","2,324",6.8
2011,"38,955","4,850",12.5,"38,322","4,554",11.9,"123,101","12,112",9.8,"32,904","2,210",6.7
20105,"39,437","4,866",12.3,"38,823","4,544",11.7,"123,731","12,230",9.9,"31,616","2,155",6.8
2009,"40,917","4,850",11.9,"40,319","4,518",11.2,"125,511","11,658",9.3,"30,736","2,022",6.6
2008,"41,309","4,364",10.6,"40,707","4,059",10,"125,482","10,380",8.3,"30,149","2,280",7.6
2007,"41,979","4,255",10.1,"41,304","3,996",9.7,"125,161","9,598",7.7,"29,442","2,179",7.4
2006,"42,212","4,208",10,"41,563","3,930",9.5,"124,847","9,761",7.8,"28,990","2,044",7
2005,"42,523","4,254",10,"41,867","3,973",9.5,"124,326","9,708",7.8,"28,704","2,264",7.9
20046,"42,978","4,519",10.5,"42,363","4,190",9.9,"123,481","10,236",8.3,"28,639","2,153",7.5
2003,"43,150","4,233",9.8,"42,547","3,957",9.3,"123,110","9,391",7.6,"28,335","2,277",8
2002,"43,614","4,090",9.4,"43,017","3,848",8.9,"122,511","9,157",7.5,"28,018","2,321",8.3
"WHITE, NOT HISPANIC24",,,,,,,,,,,,
2001,"44,095","4,194",9.5,"43,459","3,887",8.9,"122,470","8,811",7.2,"27,973","2,266",8.1
20007,"44,244","4,018",9.1,"43,554","3,715",8.5,"121,499","8,130",6.7,"27,948","2,218",7.9
19998,"44,272","4,155",9.4,"43,570","3,832",8.8,"120,341","8,462",7,"27,952","2,118",7.6
1998,"45,355","4,822",10.6,"44,670","4,458",10,"120,282","8,760",7.3,"27,118","2,217",8.2
1997,"45,491","5,204",11.4,"44,665","4,759",10.7,"119,373","9,088",7.6,"26,995","2,200",8.1
1996,"45,605","5,072",11.1,"44,844","4,656",10.4,"118,822","9,074",7.6,"27,033","2,316",8.6
19959,"45,689","5,115",11.2,"44,973","4,745",10.6,"118,228","8,908",7.5,"27,034","2,243",8.3
199410,"46,668","5,823",12.5,"45,874","5,404",11.8,"119,192","9,732",8.2,"26,684","2,556",9.6
199311,"46,096","6,255",13.6,"45,322","5,819",12.8,"118,475","9,964",8.4,"26,272","2,663",10.1
199212,"45,590","6,017",13.2,"44,833","5,558",12.4,"117,386","9,461",8.1,"26,025","2,724",10.5
199113,"45,236","5,918",13.1,"44,506","5,497",12.4,"117,672","9,244",7.9,"26,208","2,580",9.8
1990,"44,797","5,532",12.3,"44,045","5,106",11.6,"117,477","8,619",7.3,"25,854","2,471",9.6
1989,"44,492","5,110",11.5,"43,938","4,779",10.9,"116,983","8,154",7,"25,504","2,335",9.2
198814,"44,438","4,888",11,"43,910","4,594",10.5,"116,479","8,293",7.1,"25,044","2,384",9.5
198714,"44,461","5,230",11.8,"43,907","4,902",11.2,"115,721","8,327",7.2,"24,754","2,472",10
1986,"44,664","5,789",13,"44,041","5,388",12.2,"115,157","8,963",7.8,"24,298","2,492",10.3
198515,"44,752","5,745",12.8,"44,199","5,421",12.3,"114,969","9,608",8.4,"23,734","2,486",10.5
198416,"44,886","6,156",13.7,"44,349","5,828",13.1,"114,180","9,734",8.5,"23,402","2,410",10.3
1983,"44,830","6,649",14.8,"44,374","6,381",14.4,"113,570","10,279",9.1,"22,992","2,610",11.4
1982,"45,531","6,566",14.4,"45,001","6,229",13.8,"113,717","10,082",8.9,"22,655","2,714",12
198117,"45,950","5,946",12.9,"45,440","5,639",12.4,"112,722","9,207",8.2,"22,237","2,834",12.7
1980,"46,578","5,510",11.8,"45,989","5,174",11.3,"111,460","7,990",7.2,"21,760","2,865",13.2
197918,"46,967","4,730",10.1,"46,448","4,476",9.6,"110,509","6,930",6.3,"21,339","2,759",12.9
1978,"46,819","4,506",9.6,"46,606","4,383",9.4,"107,481","6,837",6.4,"20,431","2,412",11.8
1977,"47,689","4,714",9.9,"47,459","4,582",9.7,"106,063","6,772",6.4,"19,812","2,316",11.7
1976,"48,824","4,799",9.8,"48,601","4,664",9.6,"104,846","6,720",6.4,"19,565","2,506",12.8
1975,"49,670","5,342",10.8,"49,421","5,185",10.5,"103,496","7,039",6.8,"19,251","2,503",13
197419,"50,759","4,820",9.5,"50,520","4,697",9.3,"101,894","6,051",5.9,"18,810","2,346",12.5
BLACK ALONE OR IN COMBINATION,,,,,,,,,,,,
2021,"13,440","3,484",25.9,"13,295","3,412",25.7,"28,940","4,776",16.5,"5,845","1,038",17.8
20201,"13,569","3,575",26.3,"13,451","3,515",26.1,"29,202","4,797",16.4,"5,487",939,17.1
2019,"13,023","3,338",25.6,"12,918","3,297",25.5,"28,842","4,531",15.7,"5,394",966,17.9
2018,"13,222","3,773",28.5,"13,061","3,704",28.4,"28,423","4,948",17.4,"5,180",975,18.8
20172,"13,163","3,903",29.7,"12,999","3,816",29.4,"28,231","5,216",18.5,"4,942",930,18.8
2017,"13,187","3,731",28.3,"13,042","3,663",28.1,"28,253","5,142",18.2,"4,952",948,19.1
2016,"13,190","3,916",29.7,"13,084","3,866",29.5,"27,834","5,186",18.6,"4,660",864,18.5
2015,"13,128","4,146",31.6,"12,944","4,052",31.3,"27,653","5,835",21.1,"4,447",816,18.4
2014,"12,875","4,639",36,"12,706","4,564",35.9,"27,442","6,137",22.4,"4,249",805,19
20133,"13,044","4,359",33.4,"12,915","4,325",33.5,"27,056","6,031",22.3,"4,054",772,19
20134,"13,104","4,838",36.9,"12,882","4,730",36.7,"26,923","6,410",23.8,"4,085",712,17.4
2012,"13,108","4,815",36.7,"12,908","4,675",36.2,"26,482","6,265",23.7,"3,993",730,18.3
2011,"12,968","4,849",37.4,"12,815","4,762",37.2,"25,962","6,241",24,"3,718",640,17.2
20105,"13,015","4,923",37.8,"12,759","4,814",37.7,"25,815","6,031",23.4,"3,555",643,18.1
2009,"12,655","4,480",35.4,"12,445","4,349",34.9,"24,815","5,441",21.9,"3,405",655,19.2
2008,"12,388","4,202",33.9,"12,201","4,104",33.6,"24,404","5,017",20.6,"3,305",663,20
2007,"12,380","4,178",33.7,"12,227","4,106",33.6,"23,968","4,742",19.8,"3,215",748,23.3
2006,"12,375","4,086",33,"12,206","3,977",32.6,"23,510","4,652",19.8,"3,128",710,22.7
2005,"12,159","4,074",33.5,"11,975","3,972",33.2,"23,338","4,735",20.3,"3,053",708,23.2
20046,"12,190","4,059",33.3,"12,012","3,962",33,"22,842","4,638",20.3,"3,005",714,23.8
2003,"12,215","4,108",33.6,"11,989","3,977",33.2,"22,355","4,313",19.3,"2,933",688,23.5
2002,"12,114","3,817",31.5,"11,931","3,733",31.3,"22,170","4,376",19.7,"2,922",691,23.6
BLACK ALONE25,,,,,,,,,,,,
2021,"11,187","3,056",27.3,"11,059","2,990",27,"27,114","4,519",16.7,"5,675","1,008",17.8
20201,"11,168","3,086",27.6,"11,080","3,033",27.4,"27,198","4,552",16.7,"5,328",919,17.2
2019,"10,851","2,865",26.4,"10,761","2,831",26.3,"26,857","4,261",15.9,"5,257",947,18
2018,"11,084","3,273",29.5,"10,940","3,212",29.4,"26,644","4,660",17.5,"5,045",951,18.9
20172,"11,005","3,350",30.4,"10,877","3,280",30.2,"26,645","4,960",18.6,"4,827",915,19
2017,"10,991","3,184",29,"10,882","3,134",28.8,"26,648","4,877",18.3,"4,834",932,19.3
